coffee_id,Country_of_Origin,Altitude,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers
#647123,Guatemala,1600.0,2021 / 2022,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,84.92,0.1169999999999999,Green,0,1,3.0
#927000,Guatemala,1600.0,2022 / 2023,Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,7.75,83.92,0.1,Green,0,2,1.0
#902618,Guatemala,1550.0,2022 / 2023,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.11,Green,0,2,1.0
#781706,Guatemala,1600.0,2022 / 2023,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.75,84.25,0.1,Green,0,1,0.0
#237025,Guatemala,1350.0,2022 / 2023,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.75,84.33,0.092,Green,0,5,1.0
#932904,Guatemala,1550.0,2022 / 2023,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,7.75,84.0,0.11,Green,0,2,2.0
#614786,Guatemala,1432.0,2022 / 2023,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,85.0,0.113,Green,0,4,0.0
#975481,Guatemala,1600.0,2022 / 2023,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.92,84.67,0.106,Green,0,1,0.0
#938229,Guatemala,1600.0,2022 / 2023,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.0,0.099,Green,0,1,1.0
#797284,Guatemala,1500.0,2022 / 2023,Bourbon,Washed / Wet,7.67,7.92,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.107,Green,0,3,1.0
#300191,Brazil,1250.0,2022,No informado,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,85.5,0.113,Green,2,3,0.0
#914711,Brazil,950.0,2022 / 2023,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1159999999999999,Green,0,4,0.0
#319783,Brazil,950.0,2022 / 2023,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,7.08,80.08,0.114,Green,0,4,0.0
#421693,Honduras,1450.0,2022 / 2023,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.5,82.67,0.096,Green,0,2,0.0
#102399,Honduras,1450.0,2022 / 2023,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,83.08,0.096,Green,0,2,0.0
#915144,Honduras,1280.0,2022 / 2023,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,82.83,0.1,Green,0,4,0.0
#442273,Honduras,1400.0,2021 / 2022,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,0.113,Green,0,5,1.0
#183019,Honduras,1400.0,2021 / 2022,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.5,0.1119999999999999,Green,0,5,1.0
#176177,Honduras,1368.0,2022 / 2023,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.75,84.17,0.102,Green,0,2,0.0
#748155,Honduras,1368.0,2022 / 2023,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.5,0.098,Green,0,3,0.0
#858598,Colombia,1700.0,2022 / 2023,Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,7.58,83.83,0.121,Green,2,5,5.0
#329719,Colombia,1700.0,2022,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,7.58,83.5,0.122,Bluish-Green,0,2,0.0
#449544,Colombia,1650.0,2022 / 2023,Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,7.33,83.0,0.131,Bluish-Green,0,1,0.0
